image_path,question,answer
1a/1a08bf8f.jpg,What material is the base underneath the chair made of?,Wood
1a/1a08c96e.jpg,Is the glass clear?,Yes
1a/1a08c96e.jpg,The fixture's glass shade resembles what fruit's shape?,Pear
1a/1a08f443.jpg,What kind of leaves are on the label?,Oregano
1a/1a08f443.jpg,What is the color of the plastic on the top of the bottle?,Black
1a/1a09627c.jpg,What color are the shoes?,Beige
1a/1a09627c.jpg,What is the shape of the shoe heels?,Kitten
1a/1a0a242e.jpg,What color is the sofa?,Brown
1a/1a0a242e.jpg,In what direction does the seam run on the arm?,Vertical
1a/1a0a60af.jpg,What is the case color?,Multicolor
1a/1a0a60af.jpg,What color are the camera lenses?,Black
1a/1a0a7dad.jpg,What color is the duvet?,White
1a/1a0a7dad.jpg,What shape are the stitch patterns on this item?,Square
1a/1a0a80bb.jpg,What flavor is this ice cream?,Strawberry
1a/1a0a80bb.jpg,What is the first word on the top center of the container besides the number?,Organic
1a/1a0a816e.jpg,What is the color of the bulb?,Clear
1a/1a0a816e.jpg,What type of base does this bulb possess?,Candelabra
1a/1a0ab59a.jpg,What is the brand name?,Presto
1a/1a0ab59a.jpg,What ingredient is this Presto! formula advertised to be free of?,Fragrances
1a/1a0ab65c.jpg,What letter is on the necklace?,C
1a/1a0ab65c.jpg,What single capital letter is represented in gold?,C
1a/1a0b18e2.jpg,What color are the brushes?,White
1a/1a0b18e2.jpg,What color is the ovoid area in the central-upper area of each toilet brush?,Black
1a/1a0bf1f7.jpg,What shape is the frame?,Square
1a/1a0bf1f7.jpg,"Considering the frame without the mat, what is the length in inches?",10.5
1a/1a0c1b49.jpg,What flavor is the water?,Orange
1a/1a0c1b49.jpg,What word is partially obscured by the orange on the left side of the can?,Orange
1a/1a0c3c8d.jpg,What color is the container?,Clear
1a/1a0c3c8d.jpg,What shape is present on the bottom of the container?,Diamond
1a/1a0ca550.jpg,What color is the metal?,Black
1a/1a0ca550.jpg,How many visible bolts are directly attached to the triangular plate?,Three
1a/1a0cb3be.jpg,What color is the shoe?,White
1a/1a0cb3be.jpg,What is the toe style of this shoe?,Closed
1a/1a0d2b88.jpg,What color are the boots?,Black
1a/1a0d2b88.jpg,What geometrical shape does the boot's toe resemble?,Square
1a/1a0d3a64.jpg,What color is the rug?,Rust
1a/1a0d3a64.jpg,What material is visible on the inner side of the rolled-up rug?,Jute
1a/1a0d7f8d.jpg,What color are the bottles?,Green
1a/1a0d7f8d.jpg,What pattern decorates the bottom of the shampoo bottles?,Chevron
1a/1a0d917b.jpg,Is this an item of jewelry?,Yes
1a/1a0d917b.jpg,"What is the ring band made of, according to the visible stamp?",Silver
1a/1a0da8f0.jpg,What color is the sofa?,Blue
1a/1a0da8f0.jpg,What is the shape of the front leg's roller?,Spherical
1a/1a0dbe68.jpg,What color is the paint?,Orange
1a/1a0dbe68.jpg,Which colored shape is above the yellow painted shape?,Orange
1a/1a0ddda7.jpg,What animal is on the phone?,Puppy
1a/1a0ddda7.jpg,What material are the buttons on the left side of the phone case made of?,Metal
1a/1a0e2941.jpg,What kind of ribs are these?,BBQ
1a/1a0e2941.jpg,What is the first word in the product's sub-brand?,Grocery
1a/1a0e4414.jpg,What color is the earring?,Red
1a/1a0e4414.jpg,What gemstone is displayed in the stud earrings?,Topaz
1a/1a0e6844.jpg,How many drawers are there?,Five
1a/1a0e6844.jpg,What color are the metal supports underneath?,Black
1a/1a0ea570.jpg,What is the main color of the case?,Multicolor
1a/1a0ea570.jpg,What color is the bottom-most lantern on the phone case?,Orange
1a/1a0eeba0.jpg,What kind of wood is the frame?,Rubber
1a/1a0eeba0.jpg,"If you were to divide the shape of the bookshelf in half, which geometric shape would best define the shape?",Triangle
1a/1a0f4897.jpg,What color are the laces?,White
1a/1a0f4897.jpg,What is the color of the material on the back heel?,Tan
1a/1a0f8a4d.jpg,What color is the case?,Brown
1a/1a0f8a4d.jpg,What is the primary color of the narrow strip on the far right?,Brown
1a/1a0f96ec.jpg,What color is the basket?,Grey
1a/1a0f96ec.jpg,What type of metal does the handle appear to be made from?,Aluminum
1a/1a0fa049.jpg,What color is the shoe?,Black
1a/1a0fa049.jpg,What material is the embellishment on the shoe constructed from?,Metal
1a/1a1013ac.jpg,What is on the cloth?,Drops
1a/1a1013ac.jpg,What is the texture pattern of the fabric where water beads are apparent?,Woven
1a/1a1061e6.jpg,What is the color of the boot?,Brown
1a/1a1061e6.jpg,What material are the dual goring panels on this boot?,Elastic
1a/1a109de1.jpg,What color are the envelopes?,Brown
1a/1a109de1.jpg,What is the color of the padded inside of these mailers?,Bubble
1a/1a115a77.jpg,What color is the phone case?,Clear
1a/1a115a77.jpg,What shape is the camera module on the phone case?,Rectangle
1a/1a1188ed.jpg,What letter is shown?,C
1a/1a1188ed.jpg,How many lenses are visible on the back of the phone?,Five
1a/1a11a704.jpg,What color is the sweater?,Red
1a/1a11a704.jpg,What is the color of the buckle on the sandal?,Gold
1a/1a11adb3.jpg,What color is the art?,Blue
1a/1a11adb3.jpg,How many identical turquoise diamond shapes can you see in the very center of the canvas art?,Four
1a/1a11edbe.jpg,What item is pictured?,Ring
1a/1a11edbe.jpg,What number is stamped on the ring?,925
1a/1a122578.jpg,What color is the case?,Black
1a/1a122578.jpg,On which side of the man is the woman leaning?,Left
1a/1a126de8.jpg,What is inside the frame?,Forest
1a/1a126de8.jpg,What color are the predominant flowers in the picture within the frame?,Purple
1a/1a127c1e.jpg,What color is the folder?,Green
1a/1a127c1e.jpg,What lamination material is used to make the green binder?,Polypropylene
1a/1a12881c.jpg,What color are the flowers?,Pink
1a/1a12881c.jpg,What shape is the resting area of the iron?,Rectangle
1a/1a1290fd.jpg,What is the color of the cap?,Green
1a/1a1290fd.jpg,What color is the bottle's cap?,Green
1a/1a12bd67.jpg,What type of crackers are in the image?,Pita
1a/1a12bd67.jpg,What is the color of the liquid in the bowl in the bottom left?,Pink
1a/1a12df29.jpg,What is the color of the stars?,Pink
1a/1a12df29.jpg,How many lenses are featured on the back cover of the Solimo product?,Two
1a/1a13279d.jpg,How many calories?,180
1a/1a13279d.jpg,"According to the nutrition facts, what is the level of cholesterol shown?",
1a/1a133236.jpg,What color are the boxes?,Black
1a/1a133236.jpg,"Besides the opened box, how many other boxes have a visible blue interior?",Two
1a/1a138ab1.jpg,What pattern is visible?,Camouflage
1a/1a138ab1.jpg,What pattern is featured on the phone case with the hybrid protection?,Camouflage
1a/1a13aec5.jpg,What is the color of the shoe?,Brown
1a/1a13aec5.jpg,"Based on the red stitching visible near the base of the shoe, what's the color on the bottom layer?",Maroon
1a/1a13e26e.jpg,What color is the door?,Black
1a/1a13e26e.jpg,What is the specific color of the door lever in the image?,Bronze
1a/1a13e46f.jpg,What color is the mouse?,Black
1a/1a13e46f.jpg,What is the shape of the void space left between the cable and the corner inside the cardboard box?,Triangular
1a/1a1401b7.jpg,What color is the bow?,Purple
1a/1a1401b7.jpg,What geometric shape are the lighter-colored spots predominantly composed of?,Diamond
1a/1a141a31.jpg,What is the color?,Red
1a/1a141a31.jpg,What is the main color of the design on the phone case?,Reddish
1a/1a1455da.jpg,What is the color of this phone case?,Pink
1a/1a1455da.jpg,How many levels are visible on the Eiffel Tower?,Three
1a/1a145814.jpg,What color is the glove?,Gray
1a/1a145814.jpg,What material makes up the insert around the distal section of the glove?,Nylon
1a/1a1476c5.jpg,What object is on the couch?,Pillow
1a/1a1476c5.jpg,What color are the rivets on the left side of the couch?,Brown
1a/1a14de4e.jpg,What color is it?,Black
1a/1a14de4e.jpg,What is the material of the area behind the glittery cylindrical block?,Satin
1a/1a150eab.jpg,What color is at the bottom?,Red
1a/1a150eab.jpg,What color is the bottom stripe of the mobile cover's design?,Red
1a/1a156cea.jpg,What kind of jewelry is visible?,Necklace
1a/1a156cea.jpg,What is the color of the metal chain that supports the pendant?,White
1a/1a15ad9c.jpg,What color is the sole?,Red
1a/1a15ad9c.jpg,What pattern is present on the sole?,Wavy
1a/1a163437.jpg,What color is the marker?,Black
1a/1a163437.jpg,What solid color is the barrel of the object?,Black
1a/1a1659d0.jpg,Is there a lamp on the desk?,Yes
1a/1a1659d0.jpg,What is the color of the chair?,Beige
1a/1a167a10.jpg,What is this?,Eggs
1a/1a167a10.jpg,What type of code is on the right side of the carton?,Barcode
1a/1a16876c.jpg,What color is the pillow?,White
1a/1a16876c.jpg,The pattern quilted on the pillow resembles what geometrical shape?,Diamond
1a/1a1699d3.jpg,What color is the chair?,Grey
1a/1a1699d3.jpg,What is the color of the material covering the seats of the chairs?,Gray
1a/1a16a00c.jpg,What item is this?,Case
1a/1a16a00c.jpg,What brand is printed on the case?,Solimo
1a/1a16d9d6.jpg,What color is the bottle?,Green
1a/1a16d9d6.jpg,Which color is the liquid in the Presto! bottle?,Green
1a/1a16e818.jpg,What color is the phone case?,Pink
1a/1a16e818.jpg,What color is the central camera lens?,Blue
1a/1a17075c.jpg,What is printed on the cover?,Jackson
1a/1a17075c.jpg,What part of the phone case is indicated as 'Back Printed'?,Center
1a/1a170f22.jpg,What color is the cushion?,Green
1a/1a170f22.jpg,What geometric shape is the small shelf attached to the right side of the chaise lounge?,Rectangle
1a/1a176840.jpg,What color is the bag?,Blue
1a/1a176840.jpg,What material is used for the hardware attached to the chain on the bag?,Metal
1a/1a178272.jpg,How much cholesterol is there?,75mg
1a/1a178272.jpg,"Of the total sugars, what percentage of the daily value is composed of added sugars?",Thirty
1a/1a17c46f.jpg,What is the object at the top of the water?,Moon
1a/1a17c46f.jpg,What celestial body is reflected in the body of water?,Moon
1a/1a17d514.jpg,What are on the case?,Roses
1a/1a17d514.jpg,What shape is the camera flash on the phone?,Circular
1a/1a17ecdc.jpg,What color is the shoe?,Yellow
1a/1a17ecdc.jpg,How many crystal-like embellishments are adjacent to the largest pearl?,Three
1a/1a17ffff.jpg,What color are the balls?,Multi
1a/1a17ffff.jpg,What is the most common color of the sprinkles covering the camera lens?,Red
1a/1a182632.jpg,What color is the pole?,Grey
1a/1a182632.jpg,What is the shape of the object at the bottom used for securing the umbrella into the ground?,Spiral
1a/1a1847d3.jpg,What color is the boot?,Black
1a/1a1847d3.jpg,"What is the design type, visible around the boot's top part that runs from the heel?",Perforation
1a/1a1855d5.jpg,What is the color of the sky?,Orange
1a/1a1855d5.jpg,How many visible buttons are present on the left side?,Two
1a/1a1859a9.jpg,Is salt an ingredient?,Yes
1a/1a1859a9.jpg,What type of chile is dried and used in the guajillo pepper puree?,Guajillo
1a/1a1866e7.jpg,What kind of peas are included?,Black-eyed
1a/1a1866e7.jpg,"Besides water, what specific variety of legumes is in the can?",Black-eyed
1a/1a18aaaa.jpg,What kind of soup is this?,Chicken
1a/1a18aaaa.jpg,How much fresh thyme is needed for this recipe?,4sprigs
1a/1a18ad04.jpg,What color is the net's frame?,Yellow
1a/1a18ad04.jpg,In what shape is the net attached to the base?,Trapezoid
1a/1a18b2b5.jpg,How many ports are on the black device?,Four
1a/1a18b2b5.jpg,What color is the plastic inside the ports of the connector shown?,Blue
1a/1a190eca.jpg,What color is the sandal?,Pink
1a/1a190eca.jpg,What type of closure is visible on the strap?,Velcro
1a/1a19152e.jpg,What color is the case?,Green
1a/1a19152e.jpg,What is the color of the bottom most stripe?,Brown
1a/1a192d7f.jpg,What color is the cap?,Black
1a/1a192d7f.jpg,"According to the label, how many servings are there in this container?",Hundredthirty
1a/1a19492d.jpg,What instrument is on the cover?,Guitar
1a/1a19492d.jpg,What is the guitar leaning against in the image?,Wood
1a/1a194ba1.jpg,What is the item made of?,Wood
1a/1a194ba1.jpg,How many vertical bars are in the headboard?,Eleven
1a/1a1962a5.jpg,What is the color of the lever?,Gold
1a/1a1962a5.jpg,What shape is the tip of the latch bolt?,Square
1a/1a199676.jpg,What color is the image?,Brown
1a/1a199676.jpg,What shade is the 'Kastanienmuster' in the image?,Chestnut
1a/1a19fc1c.jpg,What is the logo?,Apple
1a/1a19fc1c.jpg,"Besides the blue and black colors, what is the other visible color on the bottom most layer?",Orange
1a/1a1a354d.jpg,What color is the case?,Pink
1a/1a1a354d.jpg,How many cameras are located in the upper left of the phone cover?,Two
1a/1a1aa056.jpg,What color is the bed?,White
1a/1a1aa056.jpg,What color is the honeycomb pattern on the side of the mattress?,Gray
1a/1a1b0cc7.jpg,What shape is on the cover?,Diamond
1a/1a1b0cc7.jpg,What is the geometric shape containing white dots bordered by black on the phone case?,Trapezoid
1a/1a1b3c66.jpg,What color is the couch?,Brown
1a/1a1b3c66.jpg,What shape describes the ending of the couch armrest?,Cylinder
1a/1a1b3e2a.jpg,What color is the bottle?,Blue
1a/1a1b3e2a.jpg,What shape is the metal component holding the bottle cap in place?,Trapezoid
1a/1a1b5760.jpg,What is the color of the towel?,Blue
1a/1a1b5760.jpg,What metal accessory has a Bronzefarben mit Ölschliff coating?,Towelholder
1a/1a1b9f6c.jpg,What color is the stool?,Grey
1a/1a1b9f6c.jpg,"Considering this stool is part of the Movian Tima series, what type of tree is the stained wood made from?",Rubber
1a/1a1ba934.jpg,What is the color of the stars?,Pink
1a/1a1ba934.jpg,What shape are the 'glitter' in the 3D printed design?,Stars
1a/1a1c5c7e.jpg,What is the amount of total fat for one egg?,4.5g
1a/1a1c5c7e.jpg,"For a single egg, what is the difference in mg between the amounts of Cholesterol and Sodium?",145
1a/1a1c5ff9.jpg,What is the color of the butterflies?,Golden
1a/1a1c5ff9.jpg,What is the material of the back cover?,Silicone
1a/1a1cbebf.jpg,What color is the texture?,Yellow
1a/1a1cbebf.jpg,What is the primary color of the camera housing?,Blue
1a/1a1cf1c5.jpg,What color is the bedding?,Brown
1a/1a1cf1c5.jpg,What is the color of the set in the image?,Lightbrown
1a/1a1d1f1f.jpg,What shape is the object?,Cross
1a/1a1d1f1f.jpg,What design covers the Lenovo A7700's back case?,Cross
1a/1a1d3bb6.jpg,What should you worry?,Less
1a/1a1d3bb6.jpg,Which word is colored in yellow?,Worry
1a/1a1d60ce.jpg,What is the color of the flat?,Black
1a/1a1d60ce.jpg,What is the color of the studs on the upper?,Silver
1a/1a1da014.jpg,What animal is on the pendant?,Unicorn
1a/1a1da014.jpg,What type of clasp secures the cable chain?,Spring-ring
1a/1a1df522.jpg,What color is the shoe?,Green
1a/1a1df522.jpg,What word is printed on the shoe?,KLEPE
1a/1a1e267f.jpg,What color is the chair?,Blue
1a/1a1e267f.jpg,What is the quantity of buttons shown on the chair's back?,Two
1a/1a1ec33f.jpg,What color is the toy car?,Blue
1a/1a1ec33f.jpg,What color is the diagonally upper area?,Aquamarine
1a/1a1edd5b.jpg,What is the ring made of?,Silver
1a/1a1edd5b.jpg,What number is etched into the ring?,925
1a/1a1eeb49.jpg,What is the glass wrapped in?,Bubble
1a/1a1eeb49.jpg,How many inches apart are the perforations on the shown packaging material?,Twelve
1a/1a1ef13f.jpg,What is the color of the sandal?,Beige
1a/1a1ef13f.jpg,What type of stitching is visible on the nubuck leather strap?,Exposed
1a/1a1f078a.jpg,What color are the flowers?,Pink
1a/1a1f078a.jpg,What color is the lowest flower on the right side?,Pink
1a/1a1f122a.jpg,What color is the phone case?,Multicolored
1a/1a1f122a.jpg,What is the main color of the 'texture' on the cover?,Yellow
1a/1a1f3ab9.jpg,What color is the woman's shirt?,Black
1a/1a1f3ab9.jpg,What specific type of toe is found on the red shoes?,Pointed
1a/1a1f3c25.jpg,What color is the bucket?,Blue
1a/1a1f3c25.jpg,What is the color of the plastic dispenser used to dispense cleaning solution?,White
1a/1a1f5bbf.jpg,What color is the sofa?,Grey
1a/1a1f5bbf.jpg,How many horizontal spokes does the mirror have?,Twelve
1a/1a1f7d0f.jpg,What brand is compared to Vicks?,Zzzquil
1a/1a1f7d0f.jpg,What type of symbol is visible after the word Vicks?,Registered
1a/1a1f9fe9.jpg,What color is the scarf?,Blue
1a/1a1f9fe9.jpg,What is the primary material that this scarf is made from?,Cashmere
1a/1a1fbcbc.jpg,What color is the hat?,Grey
1a/1a1fbcbc.jpg,How many panels are visible within the baseball cap?,Six
1a/1a1fc8bc.jpg,What color is the device?,Black
1a/1a1fc8bc.jpg,How many USB ports does the black hub have?,Four
1a/1a204796.jpg,What color is the bottle with the words 'Sea Drift' on it?,Blue
1a/1a204796.jpg,What is the color of 'Sea Drift' in the bottle?,Blue
1a/1a204efb.jpg,What color is the wallet?,Brown
1a/1a204efb.jpg,What color is the VISA card directly behind the Mastercard in the center flap?,Blue
1a/1a207589.jpg,What color is the filament?,Blue
1a/1a207589.jpg,What material is the filament made of?,ABS
1a/1a2091b2.jpg,What color is the tray?,White
1a/1a2091b2.jpg,What is the color of the material connecting the wires?,Clear
1a/1a209234.jpg,What color are the stripes?,Orange
1a/1a209234.jpg,What is the dominant direction of the stripes on the candy canes relative to the top of the rail?,Diagonal
1a/1a20ac5a.jpg,What color is the inside of the shoe?,Green
1a/1a20ac5a.jpg,What is the color of the visible interior lining?,Lime
1a/1a20bb28.jpg,What brand is this item?,Vedaka
1a/1a20bb28.jpg,What is written on the right side near the circle?,Popular
1a/1a20c0d0.jpg,What color is the cover?,Black
1a/1a20c0d0.jpg,What is the material composition of the product frame?,Metal
1a/1a210963.jpg,What color are the bristles?,Black
1a/1a210963.jpg,What is infused in the bristles?,Charcoal
1a/1a216534.jpg,What is this?,Glove
1a/1a216534.jpg,What percentage of nylon is present in the finger insert?,Hundred
1a/1a21a442.jpg,How many wheels are visible?,Two
1a/1a21a442.jpg,What shape are the wheels of the item?,Circular
1a/1a21c56a.jpg,What color is the suitcase?,Pink
1a/1a21c56a.jpg,What direction does the airplane face relative to the girl on the cover?,Left
1a/1a22342c.jpg,What kind of furniture is this?,Sofa
1a/1a22342c.jpg,What material are the sofa legs made of?,Metal
1a/1a223e55.jpg,Is the case shown clear?,Yes
1a/1a223e55.jpg,What shape is the top-left cut-out?,Oval
1a/1a228396.jpg,What color is the leg?,Silver
1a/1a228396.jpg,What material are the legs of the depicted object made of?,Metal
1a/1a22847a.jpg,What color is the phone case?,Multicolor
1a/1a22847a.jpg,What type of pattern is on the lens housing?,Striped
1a/1a228752.jpg,What color are the boxes?,Green
1a/1a228752.jpg,What color is the product in the image?,Mint
1a/1a22b6d0.jpg,What shape is the shelf?,Rectangular
1a/1a22b6d0.jpg,What is the color of the glass?,Clear
1a/1a22bcf5.jpg,What color is the bag?,Gray
1a/1a22bcf5.jpg,How many pockets does the main compartment of the bag have?,Eleven
1a/1a22be5d.jpg,What color is the slipper?,Pink
1a/1a22be5d.jpg,What is the predominant pattern on the leftmost strap?,Snakeskin
1a/1a22c596.jpg,What color is the phone case?,Orange
1a/1a22c596.jpg,What number does the chain form?,One
1a/1a22cd14.jpg,What color are the shoes?,Grey
1a/1a22cd14.jpg,What color is the platform below the shoe?,White
1a/1a234753.jpg,What flavor is the chocolate?,Dark
1a/1a234753.jpg,What is the first word in the product name shown?,Marchio
1a/1a234a53.jpg,What is the first word on the square?,Instructions
1a/1a234a53.jpg,"What is the quantity of liquid, in milliliters, indicated on the image?",180
1a/1a234a56.jpg,What color is the case?,Multicolor
1a/1a234a56.jpg,What color is dominating the top-left of the design on the back cover?,Green
1a/1a2375a5.jpg,What color is the couch?,Grey
1a/1a2375a5.jpg,What is the primary material used in the sofa's frame?,Metal
1a/1a23ae6a.jpg,What time is shown?,5:21
1a/1a23ae6a.jpg,On what day of the week was this picture taken?,Tuesday
1a/1a23da71.jpg,What color is the shoe?,Beige
1a/1a23da71.jpg,What material is the sole made of?,Rubber
1a/1a23f49a.jpg,What is the color of the angry face?,Red
1a/1a23f49a.jpg,What is the color featured on the top-right corner of the emotion circle?,Orange
1a/1a2416d8.jpg,What color is the shoe?,Brown
1a/1a2416d8.jpg,What is the color of the stitching used to join the top portion of the shoe together?,White
1a/1a241c4f.jpg,What are the objects?,Earrings
1a/1a241c4f.jpg,How many pearls surround the gold pearl on each earring?,Five
1a/1a243322.jpg,What color is the phone case?,Blue
1a/1a243322.jpg,What is the prominent color visible within the top left corner?,White
1a/1a24b67d.jpg,What is the shape of the numbers?,Circle
1a/1a24b67d.jpg,"Excluding the numbers on the keypad, how many symbols are visible on the lock?",One
1a/1a24d7d1.jpg,What color is the case?,Blue
1a/1a24d7d1.jpg,What color is the phone's protective?,Blue
1a/1a24f67f.jpg,What color is the chair?,Caramel
1a/1a24f67f.jpg,How many visible sections form the back of the pictured chair?,Three
1a/1a2527cf.jpg,How many bottles are visible?,Three
1a/1a2527cf.jpg,What shape is the wine glass on the bottom shelf?,Conical
1a/1a25565a.jpg,What color are the shoes?,Brown
1a/1a25565a.jpg,What is the color of the sole?,White
1a/1a25605e.jpg,What color is the table?,Brown
1a/1a25605e.jpg,What shape are the slots in the extension leaf?,Rectangular
1a/1a25d32f.jpg,What kind of shoe is this?,Sandal
1a/1a25d32f.jpg,What metal is the buckle made of?,Brass
1a/1a25e610.jpg,What color is the rack?,Black
1a/1a25e610.jpg,What is the color of the small rings that are part of the suction cups?,Orange
1a/1a25fe7b.jpg,What is the color of the shoe?,Brown
1a/1a25fe7b.jpg,What is present on the vamp?,Tassel
1a/1a265390.jpg,How many bottles are there?,Six
1a/1a265390.jpg,In which direction are the letters of the brand name written on the label?,Vertically
